StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q4,Q6,Q7,Q8,Q9,Q9_14_TEXT,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q16,Q17,Q18,Q20_1,Q21,Q22,Q23,Q24,Q25_1,Q26,Q27,Q28,Q29,Q24 - Parent Topics,Q24 - Topics,Q9_14_TEXT - Parent Topics,Q9_14_TEXT - Topics,Q_UnansweredPercentage,Q_UnansweredQuestions,Q24 - Topic Hierarchy Level 1,Q9_14_TEXT - Topic Hierarchy Level 1
2025-04-09 08:34:06,2025-04-09 08:42:00,IP Address,119.73.102.24,100,473,True,2025-04-09 08:42:01,R_9x1bwIW7Yrpb7l7,,,,,24.9246,67.087,anonymous,EN,0.800000011920929,,Yes,65+,Pakistan,Master’s degree or higher,Urban,Healthcare,,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",800 million,It can lead to waterborne disease such as cholera and dysentery.,1,2,3,5,4,6,Somewhat,News websites,No,9,Yes,Yes,"Yes, definitely","Providing clean and filtered water to the community ",7,Educational information,Yes,Yes,Concern for future generations,,Unknown,,,0.038461538461538464,QID1,,
2025-04-09 08:38:32,2025-04-09 08:42:49,IP Address,103.244.173.41,100,256,True,2025-04-09 08:42:49,R_4Qm99Vk2tJnOhPu,,,,,24.8591,66.9983,anonymous,EN,0.8999999761581421,,Yes,35 - 44,Pakistan,Master’s degree or higher,Urban,"Other, please specify...",Marketing,Somewhat knowledgeable,"Yes, very serious","Yes, I am slightly aware.",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,5,6,1,4,3,Very little,"Social media,Word of mouth",No,8,Yes,Maybe,"Yes, definitely","How to purify it, particular salt water",2,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",Maybe,No,"Global Climate Change,Personal interest/hobby",,Unknown,,Unknown,0.038461538461538464,QID1,,
2025-04-09 09:59:58,2025-04-09 10:09:23,IP Address,103.244.178.161,100,565,True,2025-04-09 10:09:23,R_4I3pm4ZNCs3JziZ,,,,,24.8591,66.9983,anonymous,EN,1,,Yes,35 - 44,Oman,Master’s degree or higher,Urban,Industry,,Neutral,Not very serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,3,4,5,6,2,Somewhat,Social media,Yes,8,No,Yes,"Yes, definitely","Presence of microplastics and other harmful chemicals. ",7,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",Maybe,Maybe,"Concern for future generations,Health and Safety",,Unknown,,,0.038461538461538464,QID1,,
2025-04-09 10:15:37,2025-04-09 10:21:44,IP Address,103.244.175.176,100,366,True,2025-04-09 10:21:45,R_4HsgsvF53Vbrxxn,,,,,24.8591,66.9983,anonymous,EN,0.800000011920929,,Yes,35 - 44,Pakistan,Bachelor’s degree,Urban,Transport,,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",800 million,It can lead to waterborne disease such as cholera and dysentery.,3,2,1,6,5,4,Somewhat,"Social media,Word of mouth",No,10,No,Yes,"Yes, definitely","Water processing plants. Reverse osmosis etc ",8,"Educational information,Forums for public discussion,Visualizations of up-to-date water quality data of your city",Yes,Yes,"Concern for future generations,Health and Safety,Local impact,Community involvement",,Unknown,,,0.038461538461538464,QID1,,
2025-04-02 10:31:47,2025-04-02 10:33:03,IP Address,89.205.136.48,26,76,False,2025-04-09 10:33:07,R_7rpviC8XfXdF4Nb,,,,,52.3664,4.8496,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Master’s degree or higher,Urban,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,QID1,,
2025-04-09 10:28:04,2025-04-09 10:49:33,IP Address,105.245.36.61,100,1289,True,2025-04-09 10:49:34,R_8PH9UmlbMMXRYtj,,,,,-26.2309,28.0583,anonymous,EN,0.8999999761581421,,Yes,25 - 34,South Africa,Secondary education,Urban,Education,,Very knowledgeable,Somewhat serious,"Yes, I am very aware of the city’s water quality and management",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",5,3,4,1,6,2,A lot,"Social media,TV/radio,Educational platforms",Yes,10,Yes,Yes,"Yes, definitely","Solution  to bringing clean water to our communities.  How to sustain  the environment  ",10,"Educational information,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",Yes,Yes,Concern for future generations,,Unknown,,,0.038461538461538464,QID1,,
2025-04-02 15:29:03,2025-04-02 15:46:48,IP Address,200.68.183.58,81,1065,False,2025-04-09 15:46:49,R_5q1s6vWWZbcahmd,,,,,19.4066,-99.2846,anonymous,EN,0.8999999761581421,,Yes,55 - 64,Mexico,Master’s degree or higher,Urban,"Other, please specify...",Beauty,Very knowledgeable,"Yes, very serious","Yes, I am very aware of the city’s water quality and management",800 million,It can lead to waterborne disease such as cholera and dysentery.,3,5,1,2,6,4,Somewhat,"Social media,News websites,Word of mouth,Educational platforms",No,7,No,No,Maybe,How to improve it,,,,,,,Unknown,,Unknown,0.047619047619047616,QID1,,
2025-04-09 18:02:56,2025-04-09 18:07:54,IP Address,5.67.31.240,100,298,True,2025-04-09 18:07:55,R_8gZ2O8sBAtkeQQY,,,,,51.4504,-0.0367,anonymous,EN,0.8999999761581421,,Yes,18 - 24,United Kingdom of Great Britain and Northern Ireland,Master’s degree or higher,Urban,Student,,Somewhat knowledgeable,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,4,3,5,6,1,Somewhat,"Social media,News websites",Yes,7,No,Yes,"Yes, definitely",,6,"Interactive maps,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Yes,"Health and Safety,Local impact,Personal interest/hobby",,,,,0.07692307692307693,"QID1,QID24",,
2025-04-10 02:05:57,2025-04-10 02:10:34,IP Address,86.134.14.76,100,276,True,2025-04-10 02:10:34,R_8bNTgVIfGhFlH6G,,,,,51.4412,-0.1833,anonymous,EN,1,,Yes,45 - 54,Pakistan,Bachelor’s degree,Urban,Education,,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3,1,2,4,5,6,Somewhat,"Social media,News websites",No,8,Yes,Maybe,"Yes, definitely","Exploring further sources and desalination ",6,"Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",No,Maybe,"Concern for future generations,Health and Safety,Local impact",,Unknown,,,0.038461538461538464,QID1,,
2025-04-10 01:10:50,2025-04-10 05:24:08,IP Address,195.169.75.252,100,15197,True,2025-04-10 05:24:08,R_2J4NudjXsI60lMG,,,,,52.36,4.8084,anonymous,EN,0.5,,Yes,18 - 24,Netherlands,Master’s degree or higher,Urban,Tourism and Hospitality,,Neutral,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,2,4,6,5,3,Very little,Social media,No,5,No,Yes,"Yes, definitely",,7,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,No,"Concern for future generations,Health and Safety",,,,,0.07692307692307693,"QID1,QID24",,
2025-04-03 08:17:43,2025-04-03 08:20:18,IP Address,87.88.188.60,63,155,False,2025-04-10 08:20:25,R_8JDe78ynyFMs2sK,,,,,48.8558,2.3494,anonymous,EN,1,,Yes,18 - 24,Netherlands,No formal education,Urban,Tourism and Hospitality,,Neutral,Not very serious,"No, I am aware of nothing related to water in my city.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,I am unsure.",4,5,3,1,6,2,Not at all,Social media,Yes,,,,,,,,,,,,,,,0.0625,QID1,,
2025-04-03 08:24:44,2025-04-03 08:25:27,IP Address,146.50.217.171,26,43,False,2025-04-10 08:25:27,R_2isMKPBVmUQK1Ha,,,,,52.3882,4.8844,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Suburban,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,QID1,,
2025-04-03 08:30:12,2025-04-03 08:31:14,IP Address,82.169.134.157,26,62,False,2025-04-10 08:31:20,R_8ZQYi7EehfRe6zb,,,,,52.6531,5.0939,anonymous,EN,1,,Yes,25 - 34,Netherlands,Master’s degree or higher,Suburban,Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,QID1,,
2025-04-03 08:33:53,2025-04-03 08:38:02,IP Address,5.90.73.89,59,248,False,2025-04-10 08:38:06,R_8qqJK4YdcDltssF,,,,,45.4722,9.1922,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Not very knowledgeable,Neutral/ Unsure,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,3,2,4,6,5,Very little,"Social media,News websites",Yes,,,,,,,,,,,,,,,0.0625,QID1,,
2025-04-03 08:43:49,2025-04-03 08:44:18,IP Address,77.234.44.164,7,29,False,2025-04-10 08:44:28,R_3YJ9CN4JRx3DJSy,,,,,40.7365,-74.0055,anonymous,EN,0.800000011920929,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,QID1,,
2025-04-03 08:46:06,2025-04-03 11:59:28,IP Address,85.76.42.41,26,11601,False,2025-04-10 11:59:28,R_5pueoP6OVVcofG9,,,,,60.2404,25.0795,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,QID1,,
2025-04-03 16:15:18,2025-04-03 16:17:16,IP Address,172.226.96.39,63,118,False,2025-04-10 16:17:19,R_1xRvbw2iqw8o1M1,,,,,52.3759,4.8975,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Secondary education,Urban,Student,,Not knowledgeable at all,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,1,3,4,5,6,Very little,"Social media,News websites",No,,,,,,,,,,,,,,,0.0625,QID1,,
2025-04-03 19:16:33,2025-04-03 19:17:36,IP Address,88.130.171.239,26,62,False,2025-04-10 19:17:39,R_2s1ynpi7ic5R0id,,,,,51.5463,6.596,anonymous,EN,0.800000011920929,,Yes,25 - 34,Netherlands,Master’s degree or higher,Urban,Finance and Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,QID1,,
2025-04-03 21:51:44,2025-04-03 21:55:20,IP Address,68.108.133.202,26,215,False,2025-04-10 21:55:21,R_3TmFIIb1banhDNw,,,,,36.2973,-115.2418,anonymous,EN,1,,Yes,55 - 64,United States of America,Master’s degree or higher,Suburban,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,QID1,,
2025-04-10 06:13:06,2025-04-10 22:20:53,IP Address,172.225.137.242,100,58066,True,2025-04-10 22:20:54,R_4pL06xq4nYh4qy5,,,,,31.558,74.3587,anonymous,EN,0.8999999761581421,,Yes,35 - 44,Pakistan,Bachelor’s degree,Urban,Industry,,Somewhat knowledgeable,"Yes, very serious","Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,2,6,5,3,4,Somewhat,"Social media,News websites",No,7,No,Yes,"Yes, definitely","How are the purifying water ",6,"Educational information,Forums for public discussion,Tools to report or monitor water issues locally",Maybe,Yes,"Concern for future generations,Health and Safety",,Unknown,,,0.038461538461538464,QID1,,
2025-04-10 22:42:08,2025-04-10 22:48:27,IP Address,154.198.123.199,100,378,True,2025-04-10 22:48:28,R_95L9o0KF1pXFtIE,,,,,24.8591,66.9983,anonymous,EN,1,,Yes,45 - 54,Pakistan,Master’s degree or higher,Urban,Healthcare,,Neutral,"Yes, very serious","Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,3,1,6,4,5,A lot,"News websites,TV/radio",No,9,No,Yes,"Yes, definitely",How can we best effect large-scale outcomes for water improvements with small and easy steps that are doable for all?,5,"Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",,Unknown,,,0.038461538461538464,QID1,,
2025-04-10 22:50:46,2025-04-10 22:59:25,IP Address,175.107.200.209,100,518,True,2025-04-10 22:59:25,R_9IavQbKhKWZ5ME9,,,,,24.8591,66.9983,anonymous,EN,0.8999999761581421,,Yes,55 - 64,Pakistan,Master’s degree or higher,Urban,Science,,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,1,3,6,5,4,A lot,"Social media,News websites,TV/radio,Educational platforms",Yes,7,No,Yes,"Yes, definitely",,7,"Educational information,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-04-04 01:13:43,2025-04-04 01:17:45,IP Address,31.10.156.46,26,241,False,2025-04-11 01:17:53,R_2WxwIX09XZdJq0x,,,,,47.3682,8.5671,anonymous,EN,0.8999999761581421,,Yes,45 - 54,Switzerland,Secondary education,Urban,Tourism and Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,QID1,,
2025-04-15 08:05:27,2025-04-15 08:10:02,IP Address,89.205.142.33,100,275,True,2025-04-15 08:10:03,R_2CTAe0IomGupBss,,,,,52.3669,4.9517,anonymous,EN,1,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Not very knowledgeable,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.,I am unsure.",1,3,2,5,4,6,Very little,"Social media,Word of mouth",No,7,Yes,Yes,"Yes, definitely",,6,"Educational information,Forums for public discussion,Visualisations of up-to-date water quality data globally",Yes,Yes,"Concern for future generations,Health and Safety,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-04-16 01:02:41,2025-04-16 01:09:21,IP Address,104.28.30.75,100,399,True,2025-04-16 01:09:21,R_82D1fTFe5ucs0Pe,,,,,52.3564,4.8802,anonymous,EN,0.4000000059604645,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Education,,Not knowledgeable at all,Not very serious,"Yes, I am slightly aware.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3,1,2,6,4,5,Somewhat,"Social media,News websites,Educational platforms",No,3,Yes,Maybe,"Yes, definitely",,3,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",No,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-04-09 06:27:55,2025-04-09 06:34:15,IP Address,103.244.173.23,63,380,False,2025-04-16 06:34:16,R_4rVccKhrB15l2SG,,,,,24.8591,66.9983,anonymous,EN,1,,Yes,45 - 54,Pakistan,Bachelor’s degree,Suburban,Education,,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,3,4,1,6,5,A lot,"Social media,News websites",No,,,,,,,,,,,,,,,0.0625,QID1,,
2025-04-09 06:44:28,2025-04-09 06:46:56,IP Address,194.78.85.9,26,148,False,2025-04-16 06:47:01,R_5qJq9FMw8uvFAWd,,,,,51.1904,4.4294,anonymous,EN,0.699999988079071,,Yes,65+,Pakistan,Master’s degree or higher,Urban,"Other, please specify...",Home maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,0.14285714285714285,QID1,,
2025-04-09 07:39:04,2025-04-09 07:44:20,IP Address,154.198.113.91,81,316,False,2025-04-16 07:44:26,R_9oziJ0mdNk4BmZ8,,,,,24.8591,66.9983,anonymous,EN,0.8999999761581421,,Yes,45 - 54,Pakistan,Master’s degree or higher,Urban,"Other, please specify...",Legal,Very knowledgeable,"Yes, very serious","Yes, I am very aware of the city’s water quality and management",2.2 billion,It can lead to waterborne disease such as cholera and dysentery.,1,3,4,5,6,2,Somewhat,"Social media,News websites",No,10,No,Yes,"Yes, definitely",,,,,,,,,,Unknown,0.09523809523809523,"QID1,QID24",,
2025-04-09 08:44:35,2025-04-09 08:45:37,IP Address,103.244.178.211,26,61,False,2025-04-16 08:45:44,R_9s5rf8LX0YBrRsv,,,,,24.8591,66.9983,anonymous,EN,0.8999999761581421,,Yes,25 - 34,Pakistan,Bachelor’s degree,Urban,Finance and Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,QID1,,
2025-04-09 10:10:54,2025-04-09 10:12:22,IP Address,103.244.174.241,26,87,False,2025-04-16 10:12:23,R_9yufvP5D7H1m5Gh,,,,,24.8591,66.9983,anonymous,EN,1,,Yes,45 - 54,Pakistan,Master’s degree or higher,Urban,Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,QID1,,
2025-04-09 12:12:49,2025-04-09 12:37:50,IP Address,39.53.229.52,7,1501,False,2025-04-16 12:37:52,R_4jJ5TrwR2ssf8Ym,,,,,24.8591,66.9983,anonymous,EN,1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,QID1,,
2025-04-17 08:44:10,2025-04-17 08:48:32,IP Address,24.132.44.232,100,262,True,2025-04-17 08:48:33,R_8I7aIbWlUIc6A4j,,,,,52.3882,4.8844,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Not very knowledgeable,Not very serious,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,4,3,6,5,2,Very little,"Social media,News websites",No,6,Yes,Maybe,"Yes, definitely",How to improve or maintain good water quality,4,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",Maybe,No,Health and Safety,,Unknown,,,0.038461538461538464,QID1,,
2025-04-17 08:45:31,2025-04-17 08:49:27,IP Address,109.136.78.32,100,236,True,2025-04-17 08:49:28,R_7P5pzvfSisxIoCx,,,,,50.8344,4.368,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Belgium,Bachelor’s degree,Urban,Student,,Not knowledgeable at all,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.",1,6,4,5,3,2,Not at all,Social media,No,0,No,No,"No, not interested",,,"Interactive maps,Educational information,Forums for public discussion",Maybe,Maybe,"Concern for future generations,Personal interest/hobby",,,,,0.11538461538461539,"QID1,QID24,QID25",,
2025-04-17 08:42:14,2025-04-17 08:51:31,IP Address,217.103.169.207,100,557,True,2025-04-17 08:51:32,R_20Vh7XTJBETNidd,,,,,52.3801,4.7965,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Suburban,Student,,Not knowledgeable at all,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,5,4,1,6,3,Somewhat,"Social media,Word of mouth",Yes,3,No,Maybe,Maybe,How my health is impacted,2,"Interactive maps,Visualizations of up-to-date water quality data of your city",Maybe,No,"Concern for future generations,Health and Safety,Personal interest/hobby",,Unknown,,,0.038461538461538464,QID1,,
2025-04-17 08:54:19,2025-04-17 08:54:29,IP Address,2.196.105.218,100,10,True,2025-04-17 08:54:30,R_5Fteyy5ZXyMf9pL,,,,,45.4722,9.1922,anonymous,EN,0.8999999761581421,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,QID1,,
2025-04-17 08:54:35,2025-04-17 08:59:00,IP Address,2.196.105.218,100,264,True,2025-04-17 08:59:01,R_3eFs2YVpW6D0BX3,,,,,45.4722,9.1922,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Italy,Secondary education,Urban,Finance and Commerce,,Not knowledgeable at all,Not very serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.",1,3,2,4,5,6,Very little,I don’t usually seek out this information,No,4,No,Maybe,Maybe,,3,"Interactive maps,Educational information,Visualisations of up-to-date water quality data globally",No,No,Health and Safety,,,,,0.07692307692307693,"QID1,QID24",,
2025-04-17 09:17:11,2025-04-17 09:20:46,IP Address,37.191.48.59,100,214,True,2025-04-17 09:20:46,R_2F4KsEE8zb4QQsM,,,,,47.5,19.0412,anonymous,EN,0.8999999761581421,,Yes,18 - 24,United States of America,Bachelor’s degree,Urban,Student,,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,4,5,3,6,1,Very little,"Social media,News websites,Educational platforms",No,5,Yes,Maybe,Maybe,,5,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-04-17 12:15:29,2025-04-17 12:24:03,IP Address,156.72.30.12,100,513,True,2025-04-17 12:24:03,R_5w0GBCJgJbuNkgF,,,,,34.3077,-118.4287,anonymous,EN,1,,Yes,65+,United States of America,Bachelor’s degree,Suburban,"Other, please specify...",Retired,Very knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,2,4,5,3,6,A lot,"Social media,News websites,TV/radio",No,10,Yes,No,"Yes, definitely",How to incentavize more people,10,"Forums for public discussion,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",Maybe,Yes,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",,Unknown,,Unknown,0.038461538461538464,QID1,,
2025-04-10 22:22:32,2025-04-10 22:27:09,IP Address,202.47.34.36,59,277,False,2025-04-17 22:27:13,R_9HekiXjMjrJVX3S,,,,,24.8591,66.9983,anonymous,EN,1,,Yes,45 - 54,Pakistan,Master’s degree or higher,Urban,Industry,,Neutral,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,2,3,6,4,5,Somewhat,Social media,No,,,,,,,,,,,,,,,0.0625,QID1,,
2025-04-19 09:57:31,2025-04-19 10:02:17,IP Address,81.30.70.50,100,285,True,2025-04-19 10:02:18,R_3IQP6KWcRJCA159,,,,,51.4771,5.6358,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Master’s degree or higher,Urban,Finance and Commerce,,Not knowledgeable at all,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",3.6 billion,I am unsure.,3,5,6,1,2,4,Not at all,"News websites,Word of mouth,Educational platforms",No,8,I don't remember,Yes,"Yes, definitely",,,,,,,,,,,0.2692307692307692,"QID24,QID29,QID28,QID25,QID27,QID1,QID26",,
2025-04-13 06:35:35,2025-04-13 06:36:13,IP Address,178.84.149.184,26,38,False,2025-04-20 06:36:15,R_5r36Cp2P6YfXY9z,,,,,52.352,4.9392,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Master’s degree or higher,Urban,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,QID1,,
2025-04-20 07:28:05,2025-04-20 07:32:46,IP Address,172.58.160.56,100,281,True,2025-04-20 07:32:47,R_1OdeVM11SZv9KM5,,,,,41.8835,-87.6305,anonymous,EN,1,,Yes,18 - 24,Spain,Bachelor’s degree,Urban,Student,,Not very knowledgeable,Neutral/ Unsure,"Yes, I am slightly aware.",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,3,2,5,6,4,Somewhat,"Social media,News websites,TV/radio,Educational platforms",No,4,No,Yes,Maybe,,2,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",No,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-04-20 07:33:54,2025-04-20 07:39:00,IP Address,92.184.106.202,100,306,True,2025-04-20 07:39:01,R_5oggIaCA8IBkAwh,,,,,48.8558,2.3494,anonymous,EN,0.699999988079071,,Yes,18 - 24,Spain,Bachelor’s degree,Urban,Student,,Somewhat knowledgeable,Not very serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,3,4,5,1,6,Somewhat,"News websites,Word of mouth,Educational platforms",No,5,Yes,Yes,"Yes, definitely",Agricultural pollutants and runoff issues,5,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",,Unknown,,,0.038461538461538464,QID1,,
2025-04-21 02:44:33,2025-04-21 02:49:03,IP Address,62.195.143.108,100,269,True,2025-04-21 02:49:03,R_8oMap8Rb0L9IWGC,,,,,52.3907,4.8637,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Tourism and Hospitality,,Very knowledgeable,"Yes, very serious","Yes, I am very aware of the city’s water quality and management",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,2,5,6,3,4,Very little,"Word of mouth,I don’t usually seek out this information",Yes,7,Yes,Maybe,Maybe,,10,"Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",Maybe,Maybe,Personal interest/hobby,,,,,0.07692307692307693,"QID1,QID24",,
